"spaceid","blockface","metertype","ratetype","raterange","timelimit","latlng"
"SVV434","800 HELIOTROPE DR","Single-Space","JUMP","$1.5/H - $6/6H","6HR","(34.086629, -118.294872)"
"CB3016A","101 4TH ST","Single-Space","TOD","$1.00 - $1.50","2HR","(34.047985, -118.24693)"
"AE449","601 JACKSON ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.051198, -118.23367)"
"UC131A","3200 CAHUENGA BLVD","Single-Space","FLAT","$1.50","1HR","(34.130047, -118.349348)"
"CB2059","1401 MAPLE AVE","Single-Space","FLAT","$1.00","4HR","(34.033329, -118.258309)"
"WW1235","4100 3RD ST","Single-Space","FLAT","$1.50","1HR","(34.068904, -118.303733)"
"OF25","1000 FAIRFAX AVE","Single-Space","FLAT","$1.50","2HR","(34.056295, -118.3646)"
"WS79","10800 ROCHESTER AVE","Single-Space","FLAT","$1.50","2HR","(34.056205, -118.441902)"
"WW1493","1200 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.048296, -118.308943)"
"MM515","5800 3RD ST","Single-Space","FLAT","$1.50","1HR","(34.06902, -118.346813)"
"LM435","401 LA BREA AVE","Single-Space","FLAT","$1.50","2HR","(34.079358, -118.344169)"
"SVV146","701 VIRGIL AVE","Single-Space","FLAT","$1.50","2HR","(34.085208, -118.286949)"
"CB4274","1001 SAN JULIAN ST","Single-Space","TOD","$0.50 - $1.00","4HR","(34.036483, -118.252725)"
"CB2863","1400 OLIVE ST","Single-Space","TOD","$1.00 - $3.00","4HR","(34.036155, -118.264496)"
"WU2","1001 6TH ST","Single-Space","FLAT","$1.50","4HR","(34.053723, -118.261086)"
"WN272","101 G ST","Single-Space","FLAT","$1.50","2HR","(33.778585, -118.26256)"
"VN1034","14401 HAMLIN ST","Single-Space","FLAT","$1.50","2HR","(34.188748, -118.447353)"
"WH190","21801 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.168534, -118.602701)"
"VN136","14500 HAYNES ST","Single-Space","FLAT","$1.50","2HR","(34.189635, -118.450602)"
"SVV392","700 HELIOTROPE DR","Single-Space","FLAT","$1.50","4HR","(34.084713, -118.294865)"
"52169","1141 JEFFERSON BLVD","Multi-Space","FLAT","$1.50","4HR","(34.025597, -118.289954)"
"61429","40 WINDWARD AVE","Multi-Space","TOD","$0.50 - $1.50","1HR","(33.987224, -118.472895)"
"SH29","1101 VINE ST","Single-Space","FLAT","$1.50","1HR","(34.092394, -118.326753)"
"56601","10710 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.051448, -118.432468)"
"BF46","301 FAIRFAX AVE","Single-Space","FLAT","$1.50","2HR","(34.077715, -118.361546)"
"PB13","5001 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.047881, -118.346518)"
"WW178","301 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.077837, -118.309259)"
"HP12","101 AVENUE 55","Single-Space","FLAT","$1.50","2HR","(34.107758, -118.195921)"
"VW157","800 VERMONT AVE","Single-Space","FLAT","$1.50","1HR","(34.057068, -118.291521)"
"R169","7001 RESEDA BLVD","Single-Space","FLAT","$1.50","2HR","(34.198932, -118.536167)"
"WA1461","1301 BURLINGTON AVE","Single-Space","FLAT","$1.50","2HR","(34.045159, -118.279255)"
"LC260","101 CRESCENT HEIGHTS BLVD","Single-Space","FLAT","$1.50","2HR","(34.07567, -118.365922)"
"WF514","600 SAN VICENTE BLVD","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.065026, -118.372475)"
"CB1850","200 WINSTON ST","Single-Space","TOD","$2.00 - $5.00","2HR","(34.045557, -118.245457)"
"LH4","201 AVENUE 22","Single-Space","FLAT","$1.50","2HR","(34.073352, -118.217756)"
"R94","7201 RESEDA BLVD","Single-Space","FLAT","$1.50","2HR","(34.201922, -118.536172)"
"CT385","800 NORTH SPRING ST","Single-Space","TOD","$2.00 - $4.00","2HR","(34.062283, -118.236646)"
"SL642","1301 GLENDALE BLVD","Single-Space","FLAT","$1.50","2HR","(34.079543, -118.26038)"
"GA233","3001 LOS FELIZ BLVD","Single-Space","FLAT","$1.50","2HR","(34.12531, -118.265296)"
"52415","620 JEFFERSON BLVD","Multi-Space","FLAT","$1.50","4HR","(34.022595, -118.281766)"
"PR315","9101 PICO BLVD","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.055365, -118.391265)"
"CB1221","1001 OLIVE ST","Single-Space","FLAT","$1.00","4HR","(34.041545, -118.260372)"
"TZ513","18600 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.16994, -118.539173)"
"VN747","6301 SYLMAR AVE","Single-Space","FLAT","$1.50","2HR","(34.185997, -118.4466)"
"CB3577","801 GRAND AVE","Single-Space","TOD","$1.00 - $1.50","4HR","(34.045327, -118.25855)"
"SVV234","1101 VERMONT AVE","Single-Space","FLAT","$1.50","1HR","(34.092874, -118.291865)"
"MV176","3801 GRAND VIEW BLVD","Single-Space","FLAT","$1.50","1HR","(34.004434, -118.430991)"
"56182","10635 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.05335, -118.430442)"
"56636","10604 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.053504, -118.429541)"
"CB848","1201 SANTEE ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.035443, -118.258104)"
"WU759","800 BEACON AVE","Single-Space","FLAT","$1.50","2HR","(34.051792, -118.27393)"
"CC1409","100 2ND ST","Single-Space","TOD","$2.00 - $7.00","2HR","(34.051505, -118.245412)"
"SV509","5901 SUNSET BLVD","Single-Space","FLAT","$1.00","2HR","(34.09815, -118.318199)"
"WF601","8401 4TH ST","Single-Space","FLAT","$1.50","2HR","(34.071612, -118.376082)"
"WN289","601 AVALON BLVD","Single-Space","FLAT","$1.50","2HR","(33.777873, -118.262372)"
"LC302","300 HARPER AVE","Single-Space","FLAT","$1.50","2HR","(34.076491, -118.368912)"
"VN642","14301 CALVERT ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.181721, -118.446289)"
"YO64A","5000 YORK BLVD","Single-Space","FLAT","$1.50","1HR","(34.121326, -118.206525)"
"GA134","3500 LARGA AVE","Single-Space","FLAT","$1.50","2HR","(34.117919, -118.260185)"
"GA154","3401 GLENDALE BLVD","Single-Space","FLAT","$1.50","1HR","(34.12042, -118.258507)"
"CC1399","601 BUNKER HILL AVE","Single-Space","FLAT","$1.00","4HR","(34.061523, -118.244461)"
"MM675","5501 WILSHIRE BLVD","Single-Space","FLAT","$1.50","2HR","(34.062443, -118.349062)"
"WA1701","1000 ALVARADO ST","Single-Space","FLAT","$1.50","1HR","(34.05073, -118.280363)"
"VH148","4401 CLARISSA AVE","Single-Space","FLAT","$1.50","15MIN","(34.106912, -118.287184)"
"VN225","14500 GILMORE ST","Single-Space","FLAT","$1.50","2HR","(34.187602, -118.450169)"
"R104","18501 SHERMAN WAY","Single-Space","FLAT","$1.50","2HR","(34.201231, -118.536992)"
"WB469","2001 FLOWER ST","Single-Space","JUMP","$1.5/H - $6/7H","7HR","(34.032202, -118.271973)"
"VW1872","701 HOOVER ST","Single-Space","FLAT","$1.50","1HR","(34.059288, -118.284304)"
"ED62","501 CENTRAL AVE","Single-Space","FLAT","$1.00","4HR","(34.040086, -118.240052)"
"C950","3700 VERMONT AVE","Single-Space","FLAT","$1.50","4HR","(34.020478, -118.291401)"
"LT446","300 CENTRAL AVE","Single-Space","FLAT","$1.00","4HR","(34.045545, -118.239458)"
"WW671","650 MARIPOSA AVE","Single-Space","FLAT","$1.50","2HR","(34.061181, -118.298651)"
"MM208A","600 CLOVERDALE AVE","Single-Space","FLAT","$1.50","2HR","(34.062599, -118.346088)"
"CB3247","501 8TH ST","Single-Space","TOD","$1.00 - $3.00","4HR","(34.04573, -118.257611)"
"UC163","3500 CAHUENGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.133181, -118.356372)"
"GA116","3500 GARDEN AVE","Single-Space","FLAT","$1.50","2HR","(34.117362, -118.261052)"
"VN251","14501 VICTORY BLVD","Single-Space","FLAT","$1.50","2HR","(34.186771, -118.45028)"
"WW1820","4150 5TH ST","Single-Space","FLAT","$1.50","2HR","(34.065267, -118.309414)"
"CB3547","501 FIGUEROA ST","Single-Space","TOD","$1.00 - $3.00","2HR","(34.051135, -118.258403)"
"PR739","1201 LA JOLLA AVE","Single-Space","FLAT","$1.50","1HR","(34.053365, -118.374066)"
"BF56","301 FAIRFAX AVE","Single-Space","FLAT","$1.50","2HR","(34.076903, -118.361544)"
"LT303","300 WALL ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.04658, -118.24452)"
"CB2491","601 WALL ST","Single-Space","FLAT","$1.00","4HR","(34.042869, -118.247761)"
"LC443","8401 MELROSE PL","Single-Space","FLAT","$1.50","2HR","(34.083703, -118.373657)"
"MV158","12200 VENICE BLVD","Single-Space","FLAT","$1.50","2HR","(34.004203, -118.432191)"
"GA160","3301 GLENDALE BLVD","Single-Space","FLAT","$1.50","1HR","(34.119815, -118.259153)"
"WW2163A","3350 WILSHIRE BLVD","Single-Space","FLAT","$1.50","1HR","(34.061664, -118.297508)"
"MD499","1201 MISSION ROAD","Single-Space","FLAT","$1.50","4HR","(34.062471, -118.211843)"
"CB4202","500 15TH ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.032013, -118.258052)"
"SH230","1001 HIGHLAND AVE","Single-Space","FLAT","$1.50","1HR","(34.090123, -118.33872)"
"UC109","3201 CAHUENGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.130062, -118.349781)"
"P299","100 ENTRADA DR","Single-Space","FLAT","$1.00","2HR","(34.028241, -118.518064)"
"WW780","600 MARIPOSA AVE","Single-Space","FLAT","$1.50","1HR","(34.063094, -118.299116)"
"BF545A","801 FAIRFAX AVE","Single-Space","FLAT","$1.50","2HR","(34.086021, -118.3616)"
"VH16","4601 HOLLYWOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.100427, -118.290352)"
"SVV472","900 HELIOTROPE DR","Single-Space","JUMP","$1.5/H - $6/6H","6HR","(34.08881, -118.29488)"
"VN529","14500 DELANO ST","Single-Space","FLAT","$1.50","2HR","(34.182598, -118.449075)"
"MD443","1401 BIGGY ST","Single-Space","FLAT","$1.50","4HR","(34.062079, -118.205519)"
"CP32","7201 REMMET AVE","Single-Space","FLAT","$1.50","2HR","(34.201302, -118.600345)"
"BF342B","8001 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083849, -118.365431)"
"WB204","1701 OLIVE ST","Single-Space","FLAT","$1.00","4HR","(34.034298, -118.266241)"
"LM788","500 LA BREA AVE","Single-Space","FLAT","$1.50","1HR","(34.081531, -118.343927)"
"SV187","6700 SUNSET BLVD","Single-Space","FLAT","$1.00","2HR","(34.097877, -118.337766)"
"WF430E","6601 ORANGE ST","Single-Space","FLAT","$1.50","2HR","(34.065208, -118.372191)"
"VW1421A","500 LA FAYETTE PARK PL","Single-Space","FLAT","$1.50","4HR","(34.064137, -118.282357)"
"R136","18500 SHERMAN WAY","Single-Space","FLAT","$1.50","2HR","(34.201016, -118.538215)"
"WB723","401 18TH ST","Single-Space","FLAT","$1.00","4HR","(34.035218, -118.269487)"
"TZ189","18800 PHILIPRIMM ST","Single-Space","FLAT","$1.50","2HR","(34.172982, -118.544099)"
"PR704","5850 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.051517, -118.367239)"
"ED516","800 KOHLER ST","Single-Space","FLAT","$1.50","4HR","(34.034483, -118.245068)"
"WH222","22200 CLARENDON ST","Single-Space","FLAT","$1.50","2HR","(34.16959, -118.607799)"
"CB3266","500 8TH ST","Single-Space","TOD","$1.00 - $7.00","2HR","(34.039543, -118.249902)"
"WF34","8101 3RD ST","Single-Space","FLAT","$1.50","2HR","(34.072432, -118.367495)"
"52303","3415 FIGUEROA ST","Multi-Space","FLAT","$1.50","4HR","(34.021417, -118.28044)"
"VW1136","2800 WILSHIRE BLVD","Single-Space","FLAT","$1.50","2HR","(34.061434, -118.283731)"
"CB1354","1100 HOPE ST","Single-Space","TOD","$1.00 - $1.50","2HR","(34.040982, -118.264112)"
"WW147","200 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.075516, -118.309051)"
"ER82","5000 EAGLE ROCK BLVD","Single-Space","FLAT","$1.50","1HR","(34.137538, -118.214364)"
"VW310A","600 NEW HAMPSHIRE AVE","Single-Space","FLAT","$1.50","2HR","(34.062446, -118.29284)"
"CB3001","201 4TH ST","Single-Space","TOD","$1.50 - $5.00","2HR","(34.049116, -118.24863)"
"SG209","7950 SUNSET BLVD","Single-Space","FLAT","$1.50","1HR","(34.097913, -118.363481)"
"P118","15201 LA CRUZ DR","Single-Space","FLAT","$1.00","1HR","(34.045654, -118.525129)"
"WW39","500 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.064484, -118.309005)"
"CP258","7101 OWENSMOUTH AVE","Single-Space","FLAT","$1.50","2HR","(34.200381, -118.601672)"
"WF271","7900 3RD ST","Single-Space","FLAT","$1.50","2HR","(34.071664, -118.363108)"
"CB2210","801 SAN JULIAN ST","Single-Space","TOD","$1.00 - $6.00","2HR","(34.038399, -118.250914)"
"HO76","1600 CHEROKEE AVE","Single-Space","TOD","$1.00 - $3.00","2HR","(34.100444, -118.334965)"
"56129","10349 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.058625, -118.422774)"
"SA103","1900 SUNSET BLVD","Single-Space","FLAT","$1.50","1HR","(34.07792, -118.260998)"
"VN336","14501 SYLVAN ST","Single-Space","FLAT","$1.50","2HR","(34.184736, -118.450081)"
"SW55","1000 WESTERN AVE","Single-Space","FLAT","$1.50","1HR","(34.090447, -118.309042)"
"VN241","6401 VAN NUYS BLVD","Single-Space","FLAT","$1.50","2HR","(34.187159, -118.448866)"
"ED496","701 CROCKER ST","Single-Space","JUMP","$1/H - $4/10H","10HR","(34.038121, -118.248104)"
"R224","18400 SHERMAN WAY","Single-Space","FLAT","$1.50","2HR","(34.20102, -118.535038)"
"CB1326","1201 GRAND AVE","Single-Space","TOD","$1.00 - $1.50","4HR","(34.039922, -118.263632)"
"SP489","200 7TH ST","Single-Space","FLAT","$1.50","2HR","(33.737933, -118.282043)"
"SH125A","1100 HIGHLAND AVE","Single-Space","FLAT","$1.50","2HR","(34.092303, -118.338491)"
"WH162","21301 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.167759, -118.596311)"
"LC3","700 LA CIENEGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.083787, -118.376383)"
"YO86","5100 YORK BLVD","Single-Space","FLAT","$1.50","1HR","(34.120946, -118.204546)"
"WW2737","3651 WILSHIRE BLVD","Single-Space","FLAT","$1.50","2HR","(34.061815, -118.30582)"
"52114","661 JEFFERSON BLVD","Multi-Space","FLAT","$1.50","1HR","(34.022843, -118.281815)"
"WV46","1001 GAYLEY AVE","Single-Space","TOD","$1.50 - $3.00","2HR","(34.060906, -118.44722)"
"CB2358A","1400 SAN PEDRO ST","Single-Space","FLAT","$1.00","4HR","(34.030739, -118.255231)"
"CP245","22001 SHERMAN WAY","Single-Space","FLAT","$1.50","2HR","(34.201132, -118.607382)"
"PB357","1401 MEADOWBROOK AVE","Single-Space","FLAT","$1.50","2HR","(34.047774, -118.350589)"
"WW2038","600 GRAMERCY PL","Single-Space","FLAT","$1.50","2HR","(34.062235, -118.312735)"
"PR378","1101 BEVERLY DR","Single-Space","FLAT","$1.50","2HR","(34.056397, -118.39628)"
"GA203","3000 LOS FELIZ BLVD","Single-Space","FLAT","$1.50","30MIN","(34.125271, -118.264913)"
"R83","7201 RESEDA BLVD","Single-Space","FLAT","$1.50","2HR","(34.202617, -118.536177)"
"VN610","14300 CALVERT ST","Single-Space","FLAT","$1.50","2HR","(34.181615, -118.444573)"
"ED72","501 CENTRAL AVE","Single-Space","FLAT","$1.00","4HR","(34.039435, -118.240092)"
"WF545","450 SAN VICENTE BLVD","Single-Space","FLAT","$1.50","2HR","(34.068941, -118.374756)"
"WH122","5400 ALHAMA DR","Single-Space","FLAT","$1.50","2HR","(34.167842, -118.592447)"
"LM309","7401 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083701, -118.352553)"
"LM109","6701 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.083536, -118.339875)"
"UC138","3300 CAHUENGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.131731, -118.351906)"
"CB810","1101 SANTEE ST","Single-Space","TOD","$1.00 - $7.00","2HR","(34.037285, -118.256616)"
"WU945","1400 OLYMPIC BLVD","Single-Space","FLAT","$1.50","2HR","(34.047916, -118.271636)"
"WV484","10801 LINDBROOK DR","Single-Space","TOD","$1.00 - $1.50","2HR","(34.060207, -118.442774)"
"MM655","600 LA BREA AVE","Single-Space","FLAT","$1.50","2HR","(34.062746, -118.343894)"
"WA1121","1800 6TH ST","Single-Space","FLAT","$1.50","1HR","(34.05829, -118.272276)"
"SVV187","4501 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","1HR","(34.090964, -118.288105)"
"GA5","3301 GLENDALE BLVD","Single-Space","FLAT","$1.50","1HR","(34.118949, -118.260081)"
"56315","10901 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.0495, -118.438529)"
"LM716A","100 LA BREA AVE","Single-Space","FLAT","$1.50","2HR","(34.074596, -118.343914)"
"LT164A","200 1ST ST","Single-Space","FLAT","$4.00","2HR","(34.050688, -118.241459)"
"WS462","1501 SEPULVEDA BLVD","Single-Space","FLAT","$1.50","2HR","(34.049862, -118.446367)"
"SV93","1501 WILCOX AVE","Single-Space","FLAT","$1.00","2HR","(34.09957, -118.331114)"
"VN683A","14301 DELANO ST","Single-Space","JUMP","$1.5/H - $6/10H","10HR","(34.182745, -118.445026)"
"PR689","5900 PICO BLVD","Single-Space","FLAT","$1.50","15MIN","(34.052104, -118.370291)"
"PR671","6000 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.052559, -118.372672)"
"LM252","7201 MELROSE AVE","Single-Space","FLAT","$1.50","2HR","(34.08357, -118.346446)"
"CC1548","501 FIGUEROA ST","Single-Space","TOD","$1.00 - $1.50","4HR","(34.061806, -118.246936)"
"SVV290","801 VERMONT AVE","Single-Space","FLAT","$1.50","2HR","(34.087499, -118.291849)"
"BF75","7901 BEVERLY BLVD","Single-Space","FLAT","$1.50","2HR","(34.076198, -118.363334)"
"WF264","300 EDINBURGH AVE","Single-Space","FLAT","$1.50","2HR","(34.071581, -118.363709)"
"LT57","301 2ND ST","Single-Space","TOD","$1.00 - $1.50","2HR","(34.047992, -118.239623)"
"WV125","10951 WEYBURN AVE","Single-Space","FLAT","$2.00","2HR","(34.062422, -118.44739)"
"WH260","22101 CLARENDON ST","Single-Space","FLAT","$1.50","2HR","(34.169697, -118.609987)"
"CB2241","1201 SAN JULIAN ST","Single-Space","TOD","$1.00 - $3.00","4HR","(34.033706, -118.254967)"
"66610","1610 VINE ST","Multi-Space","TOD","$1.50 - $3.00","2HR","(34.100495, -118.326572)"
"VW535","601 COMMONWEALTH AVE","Single-Space","FLAT","$1.50","2HR","(34.062767, -118.28575)"
"CB4411","500 11TH ST","Single-Space","TOD","$1.50 - $3.00","2HR","(34.042338, -118.263309)"
"SS476A","1900 SAWTELLE BLVD","Single-Space","FLAT","$1.50","2HR","(34.042203, -118.444635)"
"WA1428","2000 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.046872, -118.282072)"
"SV729","1400 ORANGE DR","Single-Space","FLAT","$1.00","2HR","(34.097657, -118.341496)"
"P90","801 SWARTHMORE AVE","Single-Space","FLAT","$1.00","2HR","(34.046783, -118.526032)"
"SL357","3901 FOUNTAIN AVE","Single-Space","FLAT","$1.50","2HR","(34.095871, -118.277973)"
"AE159","701 2ND ST","Single-Space","FLAT","$1.50","2HR","(34.047225, -118.235886)"
"RS84","2601 ROBERTSON BLVD","Single-Space","FLAT","$1.50","1HR","(34.037729, -118.388654)"
"TZ409","19100 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.172448, -118.549435)"
"WF351","501 FAIRFAX AVE","Single-Space","FLAT","$1.50","1HR","(34.066104, -118.361495)"
"WA1463","1300 BURLINGTON AVE","Single-Space","FLAT","$1.50","2HR","(34.045094, -118.279135)"
"MM108","700 COCHRAN AVE","Single-Space","FLAT","$1.50","2HR","(34.061646, -118.347287)"
"PR403","9600 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.055034, -118.398023)"
"CB284","1401 BROADWAY","Single-Space","FLAT","$1.00","4HR","(34.03509, -118.262941)"
"R251","7100 DARBY AVE","Single-Space","FLAT","$1.50","1HR","(34.200741, -118.533437)"
"CB1657","900 LOS ANGELES ST","Single-Space","TOD","$1.50 - $6.00","2HR","(34.040155, -118.254838)"
"AE122","600 2ND ST","Single-Space","FLAT","$1.50","2HR","(34.047104, -118.236759)"
"C427","3500 FIGUEROA ST","Single-Space","FLAT","$1.50","4HR","(34.02014, -118.28096)"
"CC1518","1000 2ND ST","Single-Space","FLAT","$1.00","4HR","(34.057331, -118.254522)"
"CB1463","1101 HOPE ST","Single-Space","TOD","$1.00 - $3.00","4HR","(34.041521, -118.263857)"
"SL517","2400 GLENDALE BLVD","Single-Space","FLAT","$1.50","2HR","(34.101611, -118.259122)"
"CB35","701 FLOWER ST","Single-Space","TOD","$5.00 - $7.00","2HR","(34.047952, -118.259604)"
"PB143","5501 PICO BLVD","Single-Space","FLAT","$1.50","2HR","(34.049471, -118.358734)"
"CB170","400 PICO BLVD","Single-Space","FLAT","$1.00","4HR","(34.03919, -118.265145)"
"R522","18401 HART ST","Single-Space","FLAT","$1.50","30MIN","(34.197544, -118.535117)"
"WA6A","700 ALVARADO ST","Single-Space","FLAT","$1.50","2HR","(34.055539, -118.277294)"
"HO498","6400 YUCCA ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.103867, -118.330665)"
"SS179","11601 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","1HR","(34.044592, -118.454438)"
"VW707","3201 WILSHIRE BLVD","Single-Space","FLAT","$1.50","1HR","(34.061888, -118.293439)"
"WV39A","1001 GAYLEY AVE","Single-Space","TOD","$1.50 - $3.00","2HR","(34.061289, -118.447548)"
"SW299A","5800 MELROSE AVE","Single-Space","FLAT","$1.50","1HR","(34.083409, -118.327941)"
"VN359","14500 SYLVAN ST","Single-Space","FLAT","$1.50","2HR","(34.184586, -118.449502)"
"SL300","1400 MICHELTORENA ST","Single-Space","FLAT","$1.50","30MIN","(34.087761, -118.275606)"
"CC1221A","300 LOS ANGELES ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.047712, -118.245371)"
"WA741","2500 WILSHIRE BLVD","Single-Space","FLAT","$1.50","1HR","(34.060261, -118.281133)"
"WW1182","3701 6TH ST","Single-Space","FLAT","$1.50","1HR","(34.063635, -118.303207)"
"CB4398","800 SPRING ST","Single-Space","TOD","$1.00 - $5.00","2HR","(34.042565, -118.254012)"
"CB1105","101 12TH ST","Single-Space","TOD","$1.00 - $3.00","2HR","(34.038547, -118.260717)"
"WU531","1401 7TH ST","Single-Space","FLAT","$1.50","1HR","(34.052881, -118.268694)"
"C425","3500 FIGUEROA ST","Single-Space","FLAT","$1.50","4HR","(34.020023, -118.281035)"
"VW901A","201 VERMONT AVE","Single-Space","FLAT","$1.50","1HR","(34.076047, -118.291817)"
"CB1155","1001 HILL ST","Single-Space","TOD","$1.00 - $2.00","4HR","(34.040825, -118.25932)"
"CB3732","400 MAIN ST","Single-Space","TOD","$1.00 - $2.00","2HR","(34.047153, -118.247993)"
"CB3738","401 LOS ANGELES ST","Single-Space","FLAT","$2.00","2HR","(34.047137, -118.246507)"
"HO967","1701 WHITLEY AVE","Single-Space","TOD","$1.50 - $3.00","2HR","(34.10243, -118.333405)"
"WB65","1800 MAIN ST","Single-Space","FLAT","$1.00","4HR","(34.031978, -118.263753)"
"CT495","801 YALE ST","Single-Space","FLAT","$1.00","4HR","(34.063868, -118.24057)"
"LT65","301 2ND ST","Single-Space","TOD","$1.00 - $1.50","2HR","(34.04834, -118.240152)"
"SG32","7551 SUNSET BLVD","Single-Space","FLAT","$1.50","1HR","(34.098138, -118.354326)"
"WB727","401 18TH ST","Single-Space","FLAT","$1.00","4HR","(34.035057, -118.269125)"
"WA1569","1501 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.04424, -118.275813)"
"SS238","11801 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","2HR","(34.042179, -118.459918)"
"WU745","1601 JAMES M. WOOD BLVD","Single-Space","FLAT","$1.50","2HR","(34.051037, -118.273414)"
"LM762","400 LA BREA AVE","Single-Space","FLAT","$1.50","2HR","(34.079404, -118.343925)"
"SVV15","4700 SANTA MONICA BLVD","Single-Space","FLAT","$1.50","1HR","(34.090783, -118.293165)"
"WH249","22101 CLARENDON ST","Single-Space","FLAT","$1.50","2HR","(34.169701, -118.608588)"
"CT543","701 NORTH SPRING ST","Single-Space","FLAT","$1.00","4HR","(34.061092, -118.237384)"
"YO81","1200 AVENUE 51","Single-Space","FLAT","$1.50","1HR","(34.120449, -118.204861)"
"SVV407","700 HELIOTROPE DR","Single-Space","FLAT","$1.50","4HR","(34.085245, -118.294868)"
"CB2046","301 14TH ST","Single-Space","FLAT","$1.00","2HR","(34.03384, -118.258429)"
"LT494","101 CENTRAL AVE","Single-Space","TOD","$1.00 - $5.00","2HR","(34.048963, -118.239264)"
"66291","6666 HOLLYWOOD BLVD","Multi-Space","TOD","$1.00 - $4.00","2HR","(34.101477, -118.335851)"
"WB576","500 20TH ST","Single-Space","JUMP","$1.5/H - $6/6H","6HR","(34.032777, -118.272666)"
"WW2462","4001 BEVERLY BLVD","Single-Space","FLAT","$1.50","1HR","(34.076388, -118.297288)"
"PB182","1300 GENESEE AVE","Single-Space","FLAT","$1.50","2HR","(34.051484, -118.36303)"
"C66","3201 VERMONT AVE","Single-Space","FLAT","$1.50","4HR","(34.026062, -118.291681)"
"WW2244","2900 PICO BLVD","Single-Space","FLAT","$1.50","1HR","(34.047132, -118.303713)"
"HP37","101 AVENUE 56","Single-Space","FLAT","$1.50","2HR","(34.108698, -118.193653)"
"CB3789","500 LOS ANGELES ST","Single-Space","TOD","$4.00 - $6.00","2HR","(34.045647, -118.247841)"
"HP194","5601 FIGUEROA ST","Single-Space","FLAT","$1.50","1HR","(34.1095, -118.19324)"
"BF88","7900 BEVERLY BLVD","Single-Space","FLAT","$1.50","2HR","(34.076001, -118.362276)"
"CB2857","1500 OLIVE ST","Single-Space","TOD","$1.00 - $2.00","30MIN","(34.0355, -118.265025)"
"CB3809","401 WALL ST","Single-Space","TOD","$2.00 - $6.00","2HR","(34.045743, -118.245165)"
"BH181","2200 CESAR E CHAVEZ AVE","Single-Space","FLAT","$1.50","1HR","(34.047656, -118.209916)"
"CT112","800 NORTH BROADWAY","Single-Space","TOD","$1.00 - $5.00","2HR","(34.062972, -118.237888)"
"WH180","21601 VENTURA BLVD","Single-Space","FLAT","$1.50","2HR","(34.16838, -118.600169)"
"CB3833","801 SANTEE ST","Single-Space","TOD","$1.00 - $7.00","2HR","(34.041181, -118.251986)"
"CB933","1000 FLOWER ST","Single-Space","TOD","$1.50 - $4.00","4HR","(34.043554, -118.263407)"
"VN1066","14400 HAYNES ST","Single-Space","FLAT","$1.50","2HR","(34.189637, -118.4468)"
"UC41","3601 CAHUENGA BLVD","Single-Space","FLAT","$1.50","2HR","(34.134485, -118.360094)"
"VW1006","3500 3RD ST","Single-Space","FLAT","$1.50","1HR","(34.06895, -118.29353)"
"56423","10936 SANTA MONICA BLVD","Multi-Space","FLAT","$1.50","2HR","(34.048906, -118.439268)"
